file,status,slide_count,pipeline_duration_s,input_bytes,output_bytes,evidence_items,total_claims,claims_with_evidence,pct_evidence_coverage,verifier_pass,verifier_rewrite,verifier_remove,verify_iterations,error,ingest_s,evidence_s,render_s,graph_s,script_s,verify_s,translate_s,narrate_s,audio_s,video_s
www.calguard.ca.gov_cahr_Documents_Pubs_supvrs_course_TandA.pptx,ok,0,127.977,164001,4709335,99,105,40,38.1,40,65,0,1,,0.244,0.254,29.868,2.296,12.745,0.152,0.0,0.0,50.304,30.97
www.cdc.gov_ncidod_diseases_hepatitis_slideset_101_101_hbv.pptx,ok,0,581.817,10266995,24836939,275,1412,40,2.83,34,1378,0,1,,2.686,7.868,29.547,2.796,240.446,0.826,0.0,0.0,168.774,127.337
www.cdc.gov_nip_registry_pubs_pres-slides_ds1.pptx,ok,0,207.542,259103,5485929,214,639,34,5.32,33,606,0,1,,2.222,23.996,21.811,1.725,81.502,0.157,0.0,0.0,48.113,27.101
www.cdc.gov_phin_04conference_05-24-04_Session_1B-John_%20Loonsk.pptx,ok,0,195.454,570992,10577610,135,141,44,31.21,42,99,0,1,,0.781,4.131,47.087,2.135,19.057,0.12,0.0,0.0,71.682,49.55
www.cdph.ca.gov_certlic_occupations_Documents_REHSTraining_Solano_Septic.pptx,ok,0,295.54,1872789,20068366,204,119,60,50.42,59,60,0,1,,6.729,48.955,82.82,10.494,14.306,0.2,0.0,0.0,70.291,60.564
www.cdph.ca.gov_programs_mdl_Documents_Procedures%20to%20follow-Select%20agent-or-toxin.pptx,ok,0,411.026,318960,24570722,268,207,94,45.41,94,113,0,1,,2.16,20.188,84.089,8.358,28.264,0.161,0.0,0.0,175.746,91.013
www.cdph.ca.gov_programs_wicworks_Documents_BF_WIC-BF-BreastfeedingPeerCounselingProgramOverviewForWICDirectorsWebex.pptx,ok,0,264.541,1413888,10436883,256,179,70,39.11,70,109,0,1,,6.867,45.693,53.416,4.805,21.285,0.122,0.0,0.0,74.091,56.715
www.cdph.ca.gov_programs_wicworks_Documents_BabyBehavior_WIC-BB-FinalTrainingCAWICPart1.pptx,ok,0,816.935,4280107,36268979,646,467,166,35.55,164,303,0,1,,16.855,103.837,176.563,11.338,56.214,0.439,0.0,0.0,245.36,205.116
www.cdph.ca.gov_programs_wicworks_Documents_WICNewWICPediatricReferralFormTutorial.pptx,ok,0,198.841,2483564,10408096,128,148,50,33.78,50,98,0,1,,1.512,11.515,58.853,3.698,17.296,0.087,0.0,0.0,66.846,38.126
www.cdpr.ca.gov_docs_county_training_strucpst_symp2004_spcbspclst.pptx,ok,0,281.935,2009838,13916087,198,133,58,43.61,58,75,0,1,,7.883,32.421,85.807,4.322,16.548,0.083,0.0,0.0,80.13,53.5
www.cind.research.va.gov_teaching_MII09_Week6_Segmentation.pptx,ok,0,655.418,6888284,23100003,646,723,134,18.53,118,605,0,1,,9.903,86.438,140.745,8.834,85.296,0.419,0.0,0.0,209.775,112.914
www.digitalpreservation.gov__meetings_documents_ndiipp08_session10_altman.pptx,ok,0,255.168,246087,8484291,232,176,36,20.45,35,141,0,1,,3.79,32.116,40.842,2.262,21.186,0.103,0.0,0.0,87.923,65.22
www.ebuy.gsa.gov_images_advrewrite_tutorial_orderhistory.pptx,ok,0,65.417,1005190,2744623,47,42,12,28.57,12,30,0,1,,3.894,7.415,17.35,1.054,5.297,0.027,0.0,0.0,16.807,12.644
www.eia.doe.gov_oiaf_archive_aeo01_conf_eia_1.pptx,ok,0,206.104,200389,6728543,168,541,46,8.5,44,497,0,1,,0.428,0.138,45.367,2.019,67.28,0.181,0.0,0.0,56.808,32.895
www.emd.wa.gov_plans_documents_PublicOutreachSlides.pptx,ok,0,81.087,7766036,6248193,48,116,10,8.62,10,106,0,1,,7.711,14.313,23.256,2.163,14.907,0.034,0.0,0.0,9.104,8.648
www.emsc.nysed.gov_irts_cohort_2009_Grad-Rates07-08additionalslides.pptx,ok,0,608.926,744248,21893987,418,554,144,25.99,83,471,0,1,,2.586,14.17,145.561,6.829,77.961,0.237,0.0,0.0,193.994,166.479
www.er.doe.gov_News_Information_speeches_Budget_Presentations_rollout%20fy03%20final.pptx,ok,0,553.146,10922645,16383991,352,2020,32,1.58,30,1990,0,1,,15.271,105.147,37.695,2.408,242.293,3.399,0.0,0.0,91.62,54.12
www.faa.gov_about_office_org_headquarters_offices_ast_advisory_committee_meeting_news_media_2005_october_Koller.pptx,ok,0,238.438,42355173,13178891,191,324,44,13.58,44,280,0,1,,9.025,24.325,60.041,5.21,39.649,0.19,0.0,0.0,55.933,41.661
www.faa.gov_about_office_org_headquarters_offices_ast_advisory_committee_meeting_news_media_COMSTAC.05.17%20rev%20b.pptx,ok,0,140.688,4190412,7822074,97,58,22,37.93,22,36,0,1,,7.673,28.723,30.685,3.097,6.826,0.044,0.0,0.0,34.992,27.686
www.fda.gov_ohrms_dockets_ac_06_slides_2006-4226S1_15.pptx,ok,0,119.459,4525582,5762684,143,164,16,9.76,16,148,0,1,,4.202,10.664,19.202,0.976,21.779,0.046,0.0,0.0,35.227,26.393
www.fhiap.oregon.gov_OWEB_MONITOR_docs_april_workshop_Souder.pptx,ok,0,456.859,5816562,26213756,354,320,66,20.62,58,262,0,1,,17.029,66.315,82.408,4.767,39.852,0.301,0.0,0.0,136.395,108.25
www.fhwa.dot.gov_planning_freight_planning_talking_freight_talkingfreight12_14_05vp.pptx,ok,0,70.863,26009,2624561,45,36,18,50.0,18,18,0,1,,0.174,0.062,19.954,0.843,4.064,0.028,0.0,0.0,28.508,16.063
www.fire.tc.faa.gov:80_ppt_systems_lithsysfire12-00.pptx,ok,0,33.71,213660,3132691,19,12,6,50.0,6,6,0,1,,0.755,3.809,11.517,1.143,1.378,0.024,0.0,0.0,8.121,5.98
www.fsa.usda.gov_Internet_FSA_File_blm_naip_071906pp.pptx,ok,0,205.452,1603060,9888258,156,92,36,39.13,33,59,0,1,,4.014,37.178,42.551,2.673,11.938,0.094,0.0,0.0,57.522,48.447
www.fsa.usda.gov_tobacco_assets_facts_lumpsumpowerpointapril202005.pptx,ok,0,332.021,404484,13147059,236,216,38,17.59,38,178,0,1,,10.347,50.898,42.388,3.347,27.681,0.121,0.0,0.0,111.07,85.234
www.fsa4counselors.ed.gov_clcf_attachments_findingmoney4college0910.pptx,ok,0,264.905,157720,18142334,99,98,40,40.82,32,66,0,1,,0.57,0.186,15.892,3.263,12.636,0.146,0.0,0.0,156.496,74.43
www.fta.dot.gov_documents_UWR_18.pptx,ok,0,13.865,58893,196209,5,4,2,50.0,2,2,0,1,,0.255,2.57,4.304,0.114,0.564,0.02,0.0,0.0,2.337,2.575
www.giss.nasa.gov_meetings_arctic2007_ppt_aws_warren.pptx,ok,0,169.975,7128706,9951058,93,73,34,46.58,33,40,0,1,,13.266,16.012,44.644,3.871,8.405,0.06,0.0,0.0,45.443,36.857
www.grrec.ky.gov_CaveWeb_KCMP_KCMP%20Module%202%20Power%20Point.pptx,ok,0,407.105,1365448,17988313,256,161,74,45.96,66,95,0,1,,4.979,42.224,57.663,4.643,19.837,0.148,0.0,0.0,165.085,111.054
www.grrec.ky.gov_CaveWeb_pdf_forms_IEP%20Power%20Point.pptx,ok,0,894.824,3982079,47693131,506,493,140,28.4,125,368,0,1,,11.841,52.619,72.909,11.418,58.335,0.536,0.0,0.0,407.305,278.383
www.grrec.ky.gov_MathAlliance_Thursday-K5.pptx,ok,0,106.757,1656050,5737101,83,58,16,27.59,14,44,0,1,,3.272,20.41,22.407,1.954,6.441,0.043,0.0,0.0,30.697,20.288
www.gsa.gov_graphics_admin_AE_Acquisition_Process_2.pptx,ok,0,329.2,3027846,16947890,154,139,58,41.73,50,89,0,1,,8.456,18.26,50.157,4.484,17.248,0.195,0.0,0.0,146.723,82.476
www.hep.anl.gov_stk_airfly_fluor_talk.pptx,ok,0,422.63,6712206,12818000,256,202,62,30.69,61,141,0,1,,29.819,63.845,107.723,6.754,49.07,0.176,0.0,0.0,79.934,83.766
www.hepatitis.va.gov_ppt_va01-pr_prtop-05_prtop05-pe-01.pptx,ok,0,825.599,1735858,49906221,289,311,102,32.8,91,220,0,1,,0.592,0.39,61.736,7.523,58.995,0.33,0.0,0.0,437.425,257.033
www.hhs.gov_ocio_policy_recordsmanagement_ipt_jan_27_2009_presentations.pptx,ok,0,540.53,2541211,27028634,512,506,60,11.86,56,450,0,1,,12.047,63.214,47.532,4.423,63.518,0.194,0.0,0.0,222.301,125.688
www.ifap.ed.gov_presentations_attachments_02SpringConf9DefaultMgt.pptx,ok,0,299.789,310558,11659869,160,159,54,33.96,47,112,0,1,,0.703,2.26,95.725,5.821,0.606,0.126,0.0,0.0,115.097,76.694
www.isp.virginia.gov_geoppt_ortho_vgin_board_april09.pptx,ok,0,211.45,3410161,15753516,153,104,44,42.31,29,75,0,1,,10.843,27.813,65.752,4.299,12.165,0.07,0.0,0.0,53.094,36.381
www.it.ojp.gov_documents_pennsylvania_county_gjxdm_court_case_message.pptx,ok,0,775.987,653669,47276352,382,412,104,25.24,86,326,0,1,,3.98,32.296,108.148,9.88,53.36,0.276,0.0,0.0,358.737,208.119
www.jcsda.noaa.gov_documents_meetings_wkshp2006_Jung-Zapotocny_31May06a.pptx,ok,0,430.926,3897169,18722855,224,148,70,47.3,66,82,0,1,,3.762,41.594,84.24,6.759,18.646,0.217,0.0,0.0,160.34,114.309
www.legislature.idaho.gov_sessioninfo_2006_interim_energy0810s_strawman.pptx,ok,0,83.055,53779,3355157,40,37,12,32.43,12,25,0,1,,0.535,2.535,17.301,0.839,5.177,0.082,0.0,0.0,32.085,22.978
www.liheapch.acf.hhs.gov_nliec_Nowicki.pptx,ok,0,110.298,519639,2259069,52,87,40,45.98,40,47,0,1,,0.429,2.041,46.45,2.604,10.408,0.106,0.0,0.0,29.482,17.618
www.loc.gov_catdir_cpso_alcts_hall-ellis_HallEllis.pptx,ok,0,242.83,756277,10678060,156,110,48,43.64,41,69,0,1,,2.636,19.711,57.261,3.338,13.315,0.105,0.0,0.0,84.599,60.835
www.loc.gov_catworkshop_courses_rda_naco_spanish_Module%202e_marccorpfamily-es.pptx,ok,0,40.346,162870,1902091,27,26,10,38.46,10,16,0,1,,0.056,0.034,7.024,0.482,3.079,0.023,0.0,0.0,18.2,10.543
www.loc.gov_z3950_agency_zig_meetings_dc2000_presentations_xp.pptx,ok,0,201.273,59392,6484713,137,113,46,40.71,42,71,0,1,,0.479,3.853,44.712,1.906,15.087,0.065,0.0,0.0,75.115,58.937
www.maine.gov_dhhs_boh_phs_odrvs_vital-records_edrs_documents_pwpnt-files_Medical-Data-Provider.pptx,ok,0,739.605,216710,60378717,373,434,106,24.42,100,334,0,1,,0.563,0.415,35.296,8.364,55.741,0.287,0.0,0.0,411.57,226.115
www.maine.gov_doc_lurc_minutes_010406_bottledwater.pptx,ok,0,93.299,688984,5792978,51,36,18,50.0,18,18,0,1,,1.919,5.659,29.107,2.954,4.647,0.051,0.0,0.0,28.554,19.148
www.maine.gov_osc_pdf_accounting_MFASIS%20Upgrade_AgencyInterfaceStatusMeeting%2002-09-2006.pptx,ok,0,222.379,53738,7696138,138,173,44,25.43,44,129,0,1,,0.457,0.215,43.806,2.461,21.284,0.119,0.0,0.0,91.591,61.37
www.mass.gov_dep_air_priorities_ractcair.pptx,ok,0,395.644,124267,18698586,190,198,76,38.38,75,123,0,1,,0.465,0.208,76.283,4.77,24.548,0.214,0.0,0.0,186.866,101.062
www.mde.maryland.gov_assets_document_WetlandsWaterways_2006workshop_VI_Orr.pptx,ok,0,372.623,15606350,21573704,186,312,52,16.67,48,264,0,1,,25.534,40.507,94.565,6.054,89.763,0.166,0.0,0.0,66.598,47.882
www.michigan.gov_documents_recovery_FLINT_275338_7.pptx,ok,0,216.872,1648614,11000446,152,97,38,39.18,33,64,0,1,,4.965,33.631,49.402,2.537,15.428,0.083,0.0,0.0,70.401,39.245
www.mrsars.usda.gov_mwa_shem_watershedslideshow.pptx,ok,0,448.972,28145270,36890727,217,178,50,28.09,49,129,0,1,,34.044,108.984,84.03,6.783,29.589,0.112,0.0,0.0,92.598,91.304
www.mwa.ars.usda.gov_mwa_ad_NewSY08_BrennerNewSY08.pptx,ok,0,894.004,14686879,60853841,567,634,116,18.3,112,522,0,1,,35.35,125.062,97.081,10.75,76.671,0.68,0.0,0.0,343.132,203.515
www.mwa.ars.usda.gov_mwa_ad_NewSY08_OSQR.pptx,ok,0,428.306,851523,19997196,285,322,78,24.22,76,246,0,1,,1.104,10.132,90.163,4.369,53.166,0.15,0.0,0.0,159.447,108.706
www.ncbi.nlm.nih.gov_bookshelf_picrender.fcgi_book=glyco2_part=ch45_blobname=ch45f6.pptx,ok,0,29.371,265146,896003,12,11,2,18.18,0,11,0,1,,1.408,2.733,3.742,0.18,1.337,0.031,0.0,0.0,11.126,7.372
www.niaid.nih.gov_ncn_grants_charts_budget_concept_flowchart.pptx,ok,0,24.164,9910,517879,18,17,2,11.76,2,15,0,1,,0.091,0.048,5.334,0.136,2.341,0.016,0.0,0.0,8.389,6.448
www.nlm.nih.gov_docline_MLA%202007%20Sunrise%20Seminar%20ILL%20Study.pptx,ok,0,447.407,181336,32150775,127,118,48,40.68,34,84,0,1,,0.304,0.354,16.77,2.841,13.678,0.114,0.0,0.0,276.138,135.655
www.noaasis.noaa.gov_DCS_docs_In-Band%20Interference%20Study.pptx,ok,0,196.222,3239593,4253445,184,173,30,17.34,29,144,0,1,,7.702,43.528,32.321,1.999,17.928,0.136,0.0,0.0,53.123,38.087
www.nsf.gov_statistics_seind04_mmslides_mm08-23_mm08-23.pptx,ok,0,17.934,89441,287067,7,5,2,40.0,2,3,0,1,,0.409,2.443,6.233,0.188,0.658,0.037,0.0,0.0,3.127,2.893
www.nyhealth.gov_professionals_nursing_home_administrator_gold_stamp_cms_stakeholder_presentation.pptx,ok,0,309.484,240176,27184611,176,126,50,39.68,50,76,0,1,,5.377,26.835,85.409,13.403,14.821,0.11,0.0,0.0,91.311,70.795
www.ofcm.gov_ICVAAS_presentations_s4-06osiensky.pptx,ok,0,147.209,890307,6369216,105,77,26,33.77,23,54,0,1,,3.449,21.602,46.885,2.199,9.44,0.078,0.0,0.0,36.946,25.238
www.ofcm.gov_ihc11_Presentations_Session09_s09-03IHC_Chen_etal_2011.pptx,ok,0,197.541,21324978,11498365,183,144,26,18.06,26,118,0,1,,10.376,58.133,48.954,3.863,16.848,0.05,0.0,0.0,30.837,27.102
www.ofcm.noaa.gov_ihc07_Presentations_posters_p-10kimball.pptx,ok,0,82.016,302401,6352964,27,16,2,12.5,2,14,0,1,,2.272,8.419,11.447,2.566,1.854,0.013,0.0,0.0,6.494,48.036
www.pcb.its.dot.gov__t3_s140731_s140731_TIM_programs_presentation_jodoin.pptx,ok,0,45.467,1317959,1446915,30,15,6,40.0,6,9,0,1,,1.538,9.419,10.772,0.812,2.149,0.02,0.0,0.0,10.97,8.823
www.publicsafety.virginia.gov__Initiatives_PrisonerReentryAcademy_docs_co-occurring_disorders.pptx,ok,0,375.698,427707,16546531,252,260,86,33.08,85,175,0,1,,1.266,4.654,112.687,4.31,31.931,0.129,0.0,0.0,142.933,76.603
www.purchasing.utah.gov_training_documents_freightmanagementtraining.pptx,ok,0,138.573,53015,11041548,74,59,30,50.85,30,29,0,1,,0.15,0.113,43.796,1.541,7.891,0.045,0.0,0.0,53.373,30.574
www.rehab.research.va.gov_jour_2012_496_powerpoint_nataraj496f05.pptx,ok,0,20.847,514745,1641071,8,6,2,33.33,0,6,0,1,,0.521,2.41,2.387,0.169,0.973,0.013,0.0,0.0,8.672,4.845
www.ride.ri.gov_assessment_DOCS_Alternate_Training_1_RIAAStudentWorkQuiz_2008.pptx,ok,0,74.504,19961965,1548251,47,51,20,39.22,20,31,0,1,,0.605,3.716,22.752,0.984,5.683,0.083,0.0,0.0,24.636,14.975
www.scag.ca.gov_modeling_mtf_presentations_012407_mtf012407_5_4_Truck.pptx,ok,0,85.836,1308311,4296936,52,75,14,18.67,12,63,0,1,,1.259,4.538,20.087,0.967,10.449,0.042,0.0,0.0,29.659,17.628
www.schools.utah.gov_assessment_documents_UTOS_Help.pptx,ok,0,418.158,1458268,5449760,128,113,34,30.09,34,79,0,1,,9.161,294.317,36.975,2.019,13.952,0.101,0.0,0.0,38.357,22.27
www.science.doe.gov_bes_besac_Orbach.pptx,ok,0,321.107,1613313,5660683,84,69,20,28.99,20,49,0,1,,6.127,224.557,24.337,1.134,9.673,0.041,0.0,0.0,30.805,23.524
www.science.doe.gov_ober_berac_Bamzai09-08.pptx,ok,0,186.133,64731,18369163,116,139,32,23.02,32,107,0,1,,0.191,0.233,37.952,2.738,17.596,0.067,0.0,0.0,75.085,51.065
